00:00	Jackson Mac Low introduces poem “[inaudible word] and Ladders”	
01:49	Performs “[inaudible word] and Ladders”	
03:00	Performs “Blue Bird Asymmetries” 	from 21 Matched Asymmetries: The 10 Bluebird Asymmetries
12:35	Introduces “The” 	Los Angeles Museum of Art project: Art and Technology program|1969|reading permutations|chance operations|principals of Mac Low’s poetry 	reading techniques
16:24	Performs “The”	
